date_heure_dernier_changement,date_heure_creation,departement,latitude,longitude,id,direction,equipement,date_installation,type,emplacement,route,longueur_troncon_km,vitesse_poids_lourds_kmh,vitesse_vehicules_legers_kmh
2018-06-28T12:30:10Z,2018-06-28T11:01:14Z,25,47.215305,6.010006,10250,Vallorbe vers Nancy,MORPHO,2012-08-25T00:00:00Z,Radar Vitesse Moyenne,BEURE,RN57,1.8,,70
2018-06-28T12:30:10Z,2018-06-28T11:01:14Z,44,47.297645,-2.178384,10251,St Nazaire vers St Brevin les Pins  (Nord / Sud),MORPHO,2012-09-07T00:00:00Z,Radar Vitesse Moyenne,ST BREVIN LES PINS,RD 213,3.4,,70
2018-06-28T12:30:10Z,2018-06-28T11:01:14Z,47,44.3661,0.71799,10252,St Antoine de Ficalba vers Pujols,MORPHO,2012-10-19T00:00:00Z,Radar Vitesse Moyenne,PUJOLS,RN 21,3.3,,110
2018-06-28T12:30:10Z,2018-06-28T11:01:14Z,79,46.36678,-0.24597,10253,Paris vers Bordeaux,MORPHO,2012-12-03T00:00:00Z,Radar Vitesse Moyenne,ROMANS,A10,11.5,,130
2018-06-28T12:30:10Z,2018-06-28T11:01:16Z,30,44.17134,4.1417,10254,ALES vers SALINDRES,MORPHO,2013-03-18T00:00:00Z,Radar Vitesse Moyenne,ROUSSON,RD16,2.3,,70
2018-06-28T12:30:10Z,2018-06-28T11:01:16Z,30,44.1597,4.11727,10255,SALINDRES vers ALES,MORPHO,2013-04-15T00:00:00Z,Radar Vitesse Moyenne,ST PRIVAT DES VIEUX,RD16,2.4,,70
2018-06-28T12:30:10Z,2018-06-28T11:01:16Z,30,43.72674,4.60756,10256,BEAUCAIRE vers FOURQUES,MORPHO,2013-03-20T00:00:00Z,Radar Vitesse Moyenne,BEAUCAIRE,RD15,6.6,,80
2018-06-28T12:30:10Z,2018-06-28T11:01:16Z,19,45.40673,1.54349,10257,PARIS vers TOULOUSE,MORPHO,2012-11-30T00:00:00Z,Radar Vitesse Moyenne,UZERCHE,A20,7.3,,130
2018-06-28T12:30:10Z,2018-06-28T11:01:16Z,44,47.2986,-2.1784,10258,St Brevin les Pins vers Saint Nazaire (Sud / Nord),MORPHO,2012-09-07T00:00:00Z,Radar Vitesse Moyenne,MONTOIR DE BRETAGNE,RD 213,3.5,,70
2018-06-28T12:30:10Z,2018-06-28T11:01:16Z,09,43.03839,1.63083,10259,TARASCON SUR ARIEGE vers PAMIERS,MORPHO,2014-05-23T00:00:00Z,Radar Vitesse Moyenne,DALOU,RN20,3.9,,110
2018-06-28T12:30:10Z,2018-06-28T11:01:16Z,09,43.00674,1.6139,10260,PAMIERS vers TARASCON SUR ARIEGE,MORPHO,2014-07-07T00:00:00Z,Radar Vitesse Moyenne,FOIX,RN20,7.2,,110
2018-06-28T12:30:10Z,2018-06-28T11:01:16Z,92,48.83963,2.20355,10261,PROVINCE vers PARIS,MORPHO,2016-06-27T00:00:00Z,Radar Vitesse Moyenne,ST CLOUD,A13,1.1,,70
2018-06-28T12:30:10Z,2018-06-28T11:01:16Z,43,44.7838,3.88568,10262,LE PUY EN VELAY vers PRADELLES,MORPHO,2013-09-13T00:00:00Z,Radar Vitesse Moyenne,PRADELLES,RN88,7.9,,80
2018-06-28T12:30:10Z,2018-06-28T11:01:16Z,16,45.62526,0.18197,10263,Soyaux vers Puymoyen,MORPHO,2013-05-17T00:00:00Z,Radar Vitesse Moyenne,PUYMOYEN,RD1000,2.5,,80
2018-06-28T12:30:14Z,2018-06-28T11:01:16Z,84,43.78382,5.09278,10264,PERTUIS vers CAVAILLON,MORPHO,2013-02-15T00:00:00Z,Radar Vitesse Moyenne,CHEVAL BLANC,RD973,7.2,,80
2018-06-28T12:30:14Z,2018-06-28T11:01:16Z,84,44.36246,4.97359,10265,VISAN vers VALREAS,MORPHO,2013-07-08T00:00:00Z,Radar Vitesse Moyenne,VALREAS,RD976,4.4,,80
2018-06-28T12:30:14Z,2018-06-28T11:01:16Z,95,49.05873,2.00108,10266,Vigny vers Cergy,MORPHO,2014-03-03T00:00:00Z,Radar Vitesse Moyenne,COURDIMANCHE,RD14,1.3,,110
2018-06-28T12:30:14Z,2018-06-28T11:01:16Z,67,48.74764,7.56854,10267,ALTECKENDORF vers WASSELONNE,MORPHO,2013-06-28T00:00:00Z,Radar Vitesse Moyenne,HOCHFELDEN,RD 25,1.3,,80
2018-06-28T12:30:14Z,2018-06-28T11:01:16Z,05,44.49779,5.73001,10268,Grenoble vers Sisteron,MORPHO,2013-03-25T00:00:00Z,Radar Vitesse Moyenne,ASPREMONT,RD 1075,2.8,,80
2018-06-28T12:30:14Z,2018-06-28T11:01:16Z,23,46.18881,1.94357,10269,GUERET vers MONTLUCON,MORPHO,2013-07-26T00:00:00Z,Radar Vitesse Moyenne,AJAIN,RN145,2.8,,110
2018-06-28T12:30:14Z,2018-06-28T11:01:17Z,31,43.38309,1.6163,10270,FOIX vers TOULOUSE,MORPHO,2014-03-14T00:00:00Z,Radar Vitesse Moyenne,MONTESQUIEU LAURAGAIS,A66,12,,130
2018-06-28T12:30:14Z,2018-06-28T11:01:17Z,69,45.87074,4.49004,10271,CLERMONT FERRAND vers LYON,MORPHO,2014-12-29T00:00:00Z,Radar Vitesse Moyenne,PONTCHARRA SUR TURDINE,A89,15.8,,110
